SourceID,TargetID,Relationship Strenght
11639,3740,30%
2247,2226,30%
2247,22062,30%
12111,2228,30%
12146,2230,30%
12146,16017,30%
12146,16027,30%
12146,22050,30%
12146,9150,30%
12146,16052,30%
12146,12016,30%
12146,12020,30%
2246,2230,30%
2246,21627,30%
2298,2236,30%
2298,2236,30%
11984,16010,30%
11984,8863,30%
5796,2238,30%
5460,2238,30%
11936,16047,30%
11936,21567,30%
11936,11936,30%
11936,11937,30%
11936,16023,30%
11936,11942,30%
11936,16048,30%
11936,11949,30%
11936,16018,30%
11936,16022,30%
11936,15770,30%
11936,16012,30%
11936,12210,30%
11954,15782,30%
11954,15755,30%
11954,21553,30%
11954,22072,30%
11954,11947,30%
11979,2239,30%
11979,15757,30%
11979,22071,30%
11979,11951,30%
11979,11979,30%
11948,2239,30%
11350,2241,30%
8983,2248,30%
11605,16040,30%
11605,8248,30%
11605,15717,30%
12178,16009,30%
12178,2535,30%
12178,2535,30%
12178,5242,30%
12178,21599,30%
12178,12011,30%
11992,2257,30%
11992,22070,30%
11896,15141,30%
11896,2903,30%
11896,2903,30%
11896,10958,30%
11896,10958,30%
12060,15758,30%
12060,21620,30%
12060,12011,30%
12060,12045,30%
12060,15777,30%
4700,2258,30%
4700,4700,30%
4700,22292,30%
4700,16197,30%
4700,16196,30%
4700,16198,30%
4700,22346,30%
4700,22346,30%
12044,15987,30%
12044,15990,30%
12044,17562,30%
12050,2263,30%
12050,16046,30%
12050,16049,30%
12050,16050,30%
12050,16024,30%
11991,2267,30%
11991,22069,30%
11991,11597,30%
2278,2268,30%
12219,2269,30%
12219,3581,30%
12219,12066,30%
12152,2270,30%
12152,3104,30%
2296,2273,30%
2297,2276,30%
10684,2278,30%
10684,16814,30%
10684,10439,30%
10684,10439,30%
10684,11581,30%
2227,2281,30%
2205,2283,30%
12119,2285,30%
12119,21563,30%
11334,2293,30%
11334,3581,30%
11334,5648,30%
12122,15988,30%
12122,17651,30%
12122,21841,30%
12122,21685,30%
12122,12012,30%
12122,12122,30%
12122,12122,30%
12041,15759,30%
12041,4968,30%
12041,12138,30%
2288,2295,30%
12016,2297,30%
12016,16043,30%
12016,4947,30%
12016,8894,30%
12016,16014,30%
12016,12020,30%
12016,12031,30%
12016,15772,30%
12016,12131,30%
12016,12146,30%
12016,16015,30%
2276,2297,30%
2234,16036,30%
2234,16344,30%
15593,15719,30%
15593,15360,30%
15593,15588,30%
15593,15729,30%
15593,3499,30%
15593,3733,30%
15593,15686,30%
15593,15189,30%
15593,5342,30%
15593,21189,30%
15593,21219,30%
15593,21290,30%
15593,21088,30%
15593,18304,30%
12170,16026,30%
12170,5242,30%
12170,12133,30%
11246,15355,30%
11246,10235,30%
11246,10570,30%
12169,2304,30%
2300,2305,30%
11376,2310,30%
12136,2311,30%
12136,12197,30%
2286,2313,30%
15559,14218,30%
3741,15151,30%
3741,3310,30%
3741,3416,30%
3741,3543,30%
3741,3543,30%
3741,3543,30%
3741,15405,30%
3741,3651,30%
3741,3701,30%
3741,3726,30%
3741,3748,30%
3741,3749,30%
3741,20976,30%
3741,10006,30%
11308,15151,30%
11308,8248,30%
11367,2315,30%
2180,2317,30%
11215,2318,30%
11215,8764,30%
12021,2318,30%
12021,12021,30%
1568,2321,30%
2245,2323,30%
12093,16005,30%
12093,21324,30%
12093,11987,30%
12007,2327,30%
12007,7683,30%
12007,7683,30%
12007,22033,30%
12007,21755,30%
12007,21755,30%
12007,21803,30%
12007,21757,30%
12007,21754,30%
2344,2330,30%
2344,2331,30%
2344,15953,30%
2344,21858,30%
2333,2335,30%
2333,15831,30%
2339,2338,30%
2339,14191,30%
2339,21631,30%
2340,15841,30%
2340,16072,30%
2340,15843,30%
2340,16071,30%
2340,16070,30%
2340,20563,30%
2340,21865,30%
2340,21835,30%
2340,21826,30%
2340,20519,30%
2340,21720,30%
2340,21833,30%
2340,21916,30%
2340,21820,30%
2340,21789,30%
2340,21789,30%
2340,15940,30%
2330,2341,30%
2330,15825,30%
2330,15849,30%
2330,15852,30%
2330,15958,30%
2330,15856,30%
2330,17781,30%
2331,2341,30%
2331,2341,30%
2331,2344,30%
2331,15824,30%
2331,15953,30%
2331,15958,30%
2331,21912,30%
2331,21913,30%
2331,17781,30%
2331,17781,30%
2343,2342,30%
2343,16074,30%
2343,16069,30%
2343,16068,30%
2343,15956,30%
2343,15956,30%
2343,15956,30%
2343,15956,30%
2343,15956,30%
2343,21829,30%
2343,21919,30%
2343,21918,30%
2343,21885,30%
2343,21917,30%
2343,21818,30%
9558,2345,30%
9558,21995,30%
9558,17547,30%
9558,17547,30%
9558,21869,30%
9558,21732,30%
9558,21740,30%
9558,21870,30%
9558,16100,30%
9558,16101,30%
9558,9484,30%
9558,9534,30%
9558,16102,30%
9558,16061,30%
16202,2345,30%
16202,6953,30%
16202,16638,30%
9907,2347,30%
9907,7568,30%
9907,21812,30%
9907,21812,30%
9907,21825,30%
9907,22010,30%
9907,16098,30%
9907,16065,30%
9907,9064,30%
9907,9137,30%
8356,2347,30%
8356,16129,30%
8356,16130,30%
8356,16150,30%
8356,17216,30%
10235,2347,30%
10235,18858,30%
10235,21795,30%
10235,16076,30%
10235,16087,30%
10235,9535,30%
8884,2347,30%
10035,2355,30%
9371,2405,30%
9371,8044,30%
9371,17455,30%
9371,8944,30%
9371,9013,30%
9371,16094,30%
9371,11388,30%
3307,2405,30%
3307,3624,30%
3307,3756,30%
